Name;Asia;Europe;Africa;Oceania;North America;Antarctica;South America;car Gross Export;golf car Gross Export;bus Gross Export;aicraft Gross Export;parachutes Gross Export
Brazil;0;0;0;0;0;0;1;3695854592,00;92850,00;350173632,00;3280676096,00;2076878,00
Barbados;0;0;0;0;1;0;0;814100,00;8674,00;111711,00;0,00;0,00
Brunei;0;0;0;0;1;0;0;375297,00;0,00;412402,00;394042,00;1156530,00
Bhutan;1;0;0;0;0;0;0;204180,00;0,00;0,00;0,00;0,00
Botswana;0;0;1;0;0;0;0;5017931,00;8777,00;487644,00;5436906,00;0,00
Canada;0;0;0;0;1;0;0;40414601216,00;217163767,00;900584000,00;6838797312,00;9156997,00
Central African Republic;0;0;1;0;0;0;0;200399,00;0,00;0,00;0,00;0,00
Switzerland;0;1;0;0;0;0;0;502996768,00;264921,00;59957264,00;1612119552,00;1220564,00
China;1;0;0;0;0;0;0;8675427328,00;496544158,00;2382972928,00;1639517440,00;4420910,00
Chile;0;0;0;0;0;0;1;197348400,00;315135,00;98338392,00;15568916,00;10668,00
Cameroon;0;0;1;0;0;0;0;494902,00;0,00;7298,00;0,00;0,00
Côte d'Ivoire;0;0;1;0;0;0;0;2729226,00;0,00;186433,00;34325980,00;0,00
Republic of the Congo;0;1;0;0;0;0;0;757380,00;0,00;103482,00;7251241,00;0,00
Democratic Republic of the Congo;0;0;1;0;0;0;0;3658614,00;44378,00;82634,00;11479116,00;3230,00
Costa Rica;0;0;0;0;1;0;0;1262976,00;0,00;588742,00;560253,00;0,00
Cook Islands;0;0;0;1;0;0;0;61776,00;0,00;0,00;0,00;0,00
Colombia;0;0;0;0;0;0;1;423732896,00;0,00;8045740,00;2373231,00;120548,00
Comoros;0;0;1;0;0;0;0;12440,00;0,00;2463,00;0,00;0,00
Cabo Verde;0;0;1;0;0;0;0;76404,00;0,00;257686,00;0,00;0,00
Cuba;0;0;0;0;1;0;0;2411324,00;0,00;0,00;0,00;0,00
Curaçao;0;0;0;0;1;0;0;257359,00;0,00;11424,00;0,00;0,00
Djibouti;0;0;1;0;0;0;0;343311,00;0,00;0,00;0,00;0,00
Czechia;0;1;0;0;0;0;0;21362886656,00;6258770,00;804692224,00;196459536,00;10184731,00
Cayman Islands;0;0;0;0;1;0;0;19734,00;0,00;0,00;0,00;0,00
Cyprus;1;0;0;0;0;0;0;11814364,00;1861,00;81886,00;7639386,00;0,00
Germany;0;1;0;0;0;0;0;141635000000,00;36546548,00;1395074432,00;31730900992,00;14866917,00
Spain;0;1;0;0;0;0;0;33892583424,00;10909701,00;494719840,00;3698708992,00;7067931,00
Denmark;0;1;0;0;0;0;0;1003314624,00;7145615,00;16016805,00;14846435,00;985349,00
Dominican Republic;0;0;0;0;1;0;0;944928,00;20631,00;29515,00;1022276,00;0,00
Algeria;0;0;1;0;0;0;0;907285,00;0,00;4980,00;0,00;14994,00
Ecuador;0;0;0;0;0;0;1;562790,00;0,00;0,00;887729,00;5635,00
Egypt;0;0;1;0;0;0;0;3409124,00;15538,00;44094076,00;274027,00;443,00
Dominica;0;0;0;0;1;0;0;34538,00;0,00;0,00;0,00;0,00
Eritrea;0;0;1;0;0;0;0;362100,00;0,00;0,00;0,00;0,00
Fiji;0;0;0;1;0;0;0;772593,00;7376,00;362391,00;11727420,00;2953,00
Estonia;0;1;0;0;0;0;0;639669440,00;4159914,00;14221390,00;7900578,00;81009,00
Ethiopia;0;0;1;0;0;0;0;1955030,00;13675,00;61163,00;33004,00;0,00
Finland;0;1;0;0;0;0;0;3235608320,00;184780617,00;91954208,00;107984176,00;303125,00
United Kingdom;1;0;0;0;0;0;0;37820051456,00;60270431,00;176211280,00;2339215616,00;30347262,00
France;0;1;0;0;0;0;0;23270213632,00;8137627,00;658353024,00;44100497408,00;27264692,00
Faroe Islands;0;1;0;0;0;0;0;1798685,00;0,00;0,00;0,00;2878,00
Gabon;0;0;1;0;0;0;0;3057226,00;0,00;231721,00;168411,00;0,00
Falkland Islands;0;0;1;0;0;0;0;27097,00;27097,00;0,00;0,00;0,00
Ghana;0;0;1;0;0;0;0;890368,00;0,00;143451,00;17349,00;0,00
Georgia;1;0;0;0;0;0;0;422834944,00;149552,00;900669,00;3091693,00;1206,00
Gibraltar;0;1;0;0;0;0;0;64416644,00;0,00;199277,00;3181147,00;0,00
Guinea-Bissau;0;0;1;0;0;0;0;13423,00;0,00;0,00;7748,00;0,00
Guinea;0;0;1;0;0;0;0;165994,00;0,00;0,00;0,00;0,00
The Gambia;1;0;0;0;0;0;0;717470,00;0,00;12378,00;0,00;0,00
Grenada;0;0;0;0;1;0;0;366854,00;0,00;0,00;0,00;0,00
Equatorial Guinea;0;0;1;0;0;0;0;239032,00;0,00;0,00;0,00;0,00
Greece;0;1;0;0;0;0;0;61671936,00;160559,00;3806024,00;1032567,00;2852,00
Greenland;0;0;0;0;1;0;0;92335,00;1920,00;0,00;0,00;0,00
Guyana;0;0;0;0;0;0;1;734572,00;0,00;0,00;0,00;0,00
Guatemala;0;0;0;0;1;0;0;10191991,00;0,00;363554,00;1444272,00;0,00
Guam;0;0;0;1;0;0;0;197144,00;0,00;0,00;0,00;0,00
Hong Kong;0;0;0;0;1;0;0;441367328,00;3547037,00;14422621,00;5221422,00;711174,00
Honduras;0;0;0;0;1;0;0;1631422,00;1889,00;153950,00;155241,00;4230,00
